Deutsch	Wissenschaftlich
Melampyrum	Melampyrum
Melampyrum pratense	Melampyrum pratense
Rhinanthus minor	Rhinanthus minor
Veronica arvensis	Veronica arvensis
Veronica persica	Veronica persica
Veronica hederifolia	Veronica hederifolia
Veronica beccabunga	Veronica beccabunga
Lamiales	Lamiales
Verbenaceae	Verbenaceae
Verbena officinalis	Verbena officinalis
Ajuga pyramidalis	Ajuga pyramidalis
Mentha	Mentha
Mentha arvensis	Mentha arvensis
Origanum vulgare	Origanum vulgare
Salvia	Salvia
Salvia glutinosa	Salvia glutinosa
Stachys	Stachys
Stachys recta	Stachys recta
Stachys sylvatica	Stachys sylvatica
Teucrium	Teucrium
Teucrium montanum	Teucrium montanum
Wiesen-Glockenblume	Campanula patula
Betonienblättrige Rapunzel	Phyteuma betonicifolium
Schwarzrandige Schafgarbe	Achillea atrata
Grossblättrige Schafgarbe	Achillea macrophylla
Aster	Aster
Berg-Distel	Carduus defloratus
Kletten-Distel	Carduus personata
Silberdistel	Carlina acaulis
Kornblume	Centaurea cyanus
Stachlige Kratzdistel	Cirsium spinosissimum
Kohldistel	Cirsium oleraceum
Acker-Kratzdistel	Cirsium arvense
Gemswurz	Doronicum
Clusius Gemswurz	Doronicum clusii
Grossköpfige Gemswurz	Doronicum grandiflorum
Berufkraut	Erigeron
Alpen-Berufkraut	Erigeron alpinus
Einjähriges Berufkraut	Erigeron annuus
Wasserdost	Eupatorium cannabinum
Zwerg-Ruhrkraut	Gnaphalium supinum
Einjährige Sonnenblume	Helianthus annuus
Weisse Pestwurz	Petasites albus
Gewöhnliche Pestwurz	Petasites hybridus
Alpen-Kreuzkraut	Senecio alpinus
Graues Kreuzkraut	Senecio incanus
Goldrute	Solidago
Spätblühende Goldrute	Solidago gigantea
Echte Goldrute	Solidago virgaurea
Wegwarte	Cichorium intybus
Zottiges Habichtskraut	Hieracium villosum
Löwenzahn	Leontodon
Schweizer Löwenzahn	Leontodon helveticus
Hasenlattich	Prenanthes purpurea
Kohl-Gänsedistel	Sonchus oleraceus
Thallose Lebermoose	Marchantiidae
Beblätterte Lebermoose	Jungermaniidae
Echte Laubmoose	Bryidae
Torfmoose	Sphagnidae
Aronstabartige	Arales
Kleinblütige Segge	Carex parviflora
Selaginella helvetica	Selaginella helvetica
Marattiaceae	Marattiaceae
Ophioglossum vulgatum	Ophioglossum vulgatum
Dryopteris carthusiana	Dryopteris carthusiana
Engelsüss	Polypodium vulgare
Rippenfarngewächse	Blechnaceae
Tüpfelfarngewächse	Polypodiaceae
Adlerfarngewächse	Pteridiaceae
Wald-Zwenke	Brachypodium sylvaticum
Melica uniflora	Melica uniflora
Poeae	Poeae
Diverseae	Diverseae
Aveneae	Aveneae
Triticeae	Triticeae
Agrostideae	Agrostideae
Magnoliidae	Magnoliidae
Ranunculidae	Ranunculidae
Caryophyllidae	Caryophyllidae
Hamamelididae	Hamamelididae
Rosidae	Rosidae
Stachelbeergewächse	Grossulariaceae
Felsen-Johannisbeere	Ribes petraeum
Dilleniidae	Dilleniidae
Lamiidae	Lamiidae
Asteridae	Asteridae
Buddlejaceae	Buddlejaceae
Dummy Antiweizen	Dummy Antiweizen
Poaceae 2	Poaceae 2
Festuca	Festuca
Lolium	Lolium
Melica	Melica
Poa	Poa
Apera spica-venti	Apera spica-venti
Briza media	Briza media
Cynosurus cristatus	Cynosurus cristatus
Dactylis glomerata	Dactylis glomerata
Sesleria caerulea	Sesleria caerulea
1: lockere Rispe, mehrblütige Ä	1: lockere Rispe, mehrblütige Ä
2: lockere Rispe, 1blütige Ä	2: lockere Rispe, 1blütige Ä
3: keine lockere Rispe	3: keine lockere Rispe
Festuca arundinacea	Festuca arundinacea
Festuca pratensis	Festuca pratensis
Festuca rubra	Festuca rubra
Festuca vallesiaca	Festuca vallesiaca
Poa annua	Poa annua
Poa alpina	Poa alpina
Poa bulbosa	Poa bulbosa
Poa pratensis	Poa pratensis
Poa trivialis	Poa trivialis
Lolium multiflorum	Lolium multiflorum
Lolium perenne	Lolium perenne
Melica nutans	Melica nutans
Melica ciliata	Melica ciliata
Brachypodium	Brachypodium
Bromus	Bromus
Molinia caerulea	Molinia caerulea
Nardus stricta	Nardus stricta
Phragmites australis	Phragmites australis
Stipa pennata	Stipa pennata
Zea mays	Zea mays
Brachypodium sylvaticum	Brachypodium sylvaticum
Brachypodium pinnatum	Brachypodium pinnatum
Bromus erectus	Bromus erectus
Bromus sterilis	Bromus sterilis
Bromus tectorum	Bromus tectorum
Bromus hordeaceus	Bromus hordeaceus
Anthoxantum odoratum	Anthoxantum odoratum
Arrhenatherum elatius	Arrhenatherum elatius
Avena sativa	Avena sativa
Deschampsia caespitosa	Deschampsia caespitosa
Helictrotrichon pubescens	Helictrotrichon pubescens
Trisetum flavescens	Trisetum flavescens
Hordeum	Hordeum
Agropyron repens	Agropyron repens
Secale cereale	Secale cereale
Triticum aestivum	Triticum aestivum
Hordeum murinum	Hordeum murinum
Hordeum vulgare	Hordeum vulgare
Agrostis stolonifera	Agrostis stolonifera
Alopecurus pratensis	Alopecurus pratensis
Phleum pratense	Phleum pratense
Calamagrostis varia	Calamagrostis varia
Milium effusum	Milium effusum
Outgroup	Outgroup
Outgroup	Outgroup
Holcus lanatus	Holcus lanatus
ohne Honigblätter	ohne Honigblätter
mit Honigblättern	mit Honigblättern
Wurmfarngewächse	Dryopteridaceae
Athyrium filix-femina	Athyrium filix-femina
Geflecktes Knabenkraut	Dactylorhiza maculata
Wald-Hainsimse	Luzula sylvatica
Seidelbast	Daphne
dummy	dummy
Buddleja davidii	Buddleja davidii
Plantago	Plantago
Buddleja davidii	Buddleja davidii
Gipfelmoos	Laubmoos akrokarp
Astmoos	Laubmoos pleurokarp
Adonisröschen	Adonis
xx	xx
Mohngewächse	Papaveraceae
Klatsch-Mohn	Papaver rhoeas
Schöllkraut	Chelidonium majus
Rosenartige	Rosoideae
Steinobstartige	Prunoideae
Kernobstartige	Maloideae
xx	xx
xx	xx
xx	xx
Ahorngewächse	Aceraceae
xx	xx
Acer campestre	Acer campestre
Feld-Ahorn	Acer campestre
Spitz-Ahorn	Acer platanoides
Berg-Ahorn	Acer pseudoplatanus
Springkrautgewächse	Balsaminaceae
Springkraut	Impatiens
Drüsiges Springkraut	Impatiens glandulifera
Rühr-mich-nicht-an	Impatiens noli-tangere
Kleinblütiges Springkraut	Impatiens parviflora
Doldenartige	Araliales
Efeugewächse	Araliaceae
Doldengewächse	Apiaceae
Efeu	Hedera helix
Kümmel	Carum carvi
Karotte	Daucus carota
Muttern	Ligusticum mutellina
Wiesen-Kerbel	Anthriscus sylvestris
Villars Kerbel	Chaerophyllum villarsii
Baumtropfen	Aegopodium podagraria
Grosse Sterndolde	Astrantia major
Bärenklau	Heracleum
Riesen-Bärenklau	Heracleum mantegazzianum
Wiesen-Bärenklau	Heracleum sphondylium
Meisterwurz	Peucedanum ostruthium
Sanikel	Sanicula europaea
Viola	Viola
xx	xx
Malve	Malva
xx	xx
Hornstrauch	Cornus
xx	xx
Witwenblume	Knautia
Skabiose	Scabiosa
xx	xx
xx	xx
Röhrenblütige	Tubiflorae
Asterartige	Asteridae
xx	xx
Braunwurzartige	Scrophulariales
Nachtschattenartige	Solanales
Taubnesselartige	Lamiales
Rauhhaargewächse	Boraginaceae
Windengewächse	Convolvulaceae
Seidengewächse	Cuscutaceae
Nachtschattengewächse	Solanaceae
Zaunwinde	Calystegia sepium
Acker-Winde	Convolvulus arvensis
Teufelszwirn	Cuscuta epithymum
Tollkirsche	Atropa belladonna
Stechapfel	Datura stramonium
Nachtschatten	Solanum
Bittersüss	Solanum dulcamara
Kartoffel	Solanum tuberosum
Natterkopf	Echium vulgare
Himmelsherold	Eritrichium nanum
Vergissmeinnicht	Myosotis
Alpen-Vergissmeinnicht	Myosotis alpestris
Acker-Vergissmeinnicht	Myosotis arvensis
Dunkelgrünes Lungenkraut	Pulmonaria obscura
Echte Wallwurz	Symphytum officinale
Schmetterlingsstrauchgewächse	Buddlejaceae
Kugelblumengewächse	Globulariaceae
Wasserschlauchgewächse	Lentibulariaceae
Sommerwurzgewächse	Orobanchaceae
Wegerichgewächse	Plantaginaceae
Braunwurzgewächse	Scrophulariaceae
Sommerflieder	Buddleja davidii
Herzblättrige Kugelblume	Globularia cordifolia
Fettblatt	Pinguicula
Alpen-Fettblatt	Pinguicula alpina
Gewöhnliches Fettblatt	Pinguicula vulgaris
Thymian-Sommerwurz	Orobanche alba
Wegerich	Plantago
Alpen-Wegerich	Plantago alpina
Berg-Wegerich	Plantago atrata
Spitz-Wegerich	Plantago lanceolata
Breit-Wegerich	Plantago major
Mittlerer Wegerich	Plantago media
Ehrenpreis	Veronica
Bachbungen-Ehrenpreis	Veronica beccabunga
Gamander-Ehrenpreis	Veronica chamaedrys
Feld-Ehrenpreis	Veronica arvensis
Rosetten-Ehrenpreis	Veronica bellidioides
Feinstieliger Ehrenpreis	Veronica filiformis
Felsen-Ehrenpreis	Veronica fruticans
Efeublättriger Ehrenpreis	Veronica hederifolia
Persischer Ehrenpreis	Veronica persica
Kleines Leinkraut	Chaenorrhinum minus
Grossblütiger Fingerhut	Digitalis grandiflora
Leinkraut	Linaria
Alpen-Leinkraut	Linaria alpina
Gewöhnliches Leinkraut	Linaria vulgaris
Alpen-Bartschie	Bartsia alpina
Gewöhnlicher Augentrost	Euphrasia rostkoviana
Wachtelweizen	Melampyrum
Wiesen-Wachtelweizen	Melampyrum pratense
Wald-Wachtelweizen	Melampyrum sylvaticum
Läusekraut	Pedicularis
Knolliges Läusekraut	Pedicularis tuberosa
Quirlblättriges Läusekraut	Pedicularis verticillata
Klappertopf	Rhinanthus
Behaarter Klappertopf	Rhinanthus alectorolophus
Kleiner Klappertopf	Rhinanthus minor
Lampen-Königskerze	Verbascum lychnitis
Lippenblütler	Lamiaceae
Eisenkrautgewächse	Verbenaceae
Eisenkraut	Verbena officinalis
Günsel	Ajuga
Pyramiden-Günsel	Ajuga pyramidalis
Kriechender Günsel	Ajuga reptans
Gewöhnliche Gundelrebe	Glechoma hederacea
Gamander	Teucrium
Berg-Gamander	Teucrium montanum
Alpen-Steinquendel	Acinos alpinus
Hohlzahn	Galeopsis
Gewöhnlicher Hohlzahn	Galeopsis tetrahit
Taubnessel	Lamium
Weisse Taubnessel	Lamium album
Gefleckte Taubnessel	Lamium maculatum
Berg-Goldnessel	Lamium montanum
Purpur-Taubnessel	Lamium purpureum
Gewöhnliche Brunelle	Prunella vulgaris
Salbei	Salvia
Klebrige Salbei	Salvia glutinosa
Wiesen-Salbei	Salvia pratensis
Ziest	Stachys
Aufrechter Ziest	Stachys recta
Wald-Ziest	Stachys sylvatica
Dost	Origanum vulgare
Feld-Thymian	Thymus serpyllum
Acker-Minze	Mentha arvensis
Knabenkraut	Dactylorhiza
xx	xx
Ragwurz	Ophrys
x	x
Glatthafer	Arrhenatherum elatius
Schwingel	Festuca
Rohr-Schwingel	Festuca arundinacea
Wiesen-Schwingel	Festuca pratensis
Rot-Schwingel	Festuca rubra
Walliser Schwingel	Festuca valesiaca
Gewöhnliches Kammgras	Cynosurus cristatus
Blaugras	Sesleria caerulea
sax	sax
Storchschnabelartige	Geraniales
lijliu	lijliu
Berg-Hauswurz	Sempervivum montanum
