
263	Arctostaphylos uva-ursi
264	Calluna vulgaris
265	Erica carnea
266	Loiseleuria procumbens
267	Rhododendron
268	Rhododendron ferrugineum
269	Rhododendron hirsutum
270	Vaccinium myrtillus
271	Vaccinium uliginosum
272	Vaccinium vitis-idaea
273	Dipsacales
274	Caprifoliaceae
275	Lonicera
276	Lonicera caerulea
277	Lonicera xylosteum
278	Sambucus
279	Sambucus nigra
280	Sambucus racemosa
281	Viburnum
282	Viburnum lantana
283	Viburnum opulus
284	Dipsacaceae
285	Knautia arvensis
286	Scabiosa columbaria
287	Valerianaceae
288	Valeriana
289	Valeriana montana
290	Valeriana officinalis
291	Valeriana tripteris
292	Oleaceae
293	Fraxinus
294	Fraxinus excelsior
295	Ligustrum vulgare
296	Gentianales
297	Asclepiadaceae
298	Vincetoxicum hirundinaria
299	Gentianaceae
300	Gentiana clusii
301	Gentiana acaulis
302	Gentiana verna
303	Rubiaceae
304	Galium
305	Galium album
306	Galium aparine
307	Galium odoratum
308	Tubiflorae
309	Solanaceae
310	Atropa belladonna
311	Solanum dulcamara
312	Boraginaceae
313	Echium vulgare
314	Myosotis
315	Symphytum officinale
316	Scrophulariales
317	Scrophulariaceae
318	Veronica
319	Veronica bellidioides
320	Veronica chamaedrys
321	Veronica filiformis
322	Veronica fruticans
323	Rhinanthus
324	Rhinanthus alectorolophus
325	Linaria
326	Linaria alpina
327	Bartsia alpina
328	Euphrasia rostkoviana
329	Melampyrum silvaticum
330	Pedicularis
331	Pedicularis tuberosa
332	Pedicularis verticillata
333	Orobanchaceae
334	Orobanche alba
335	Globulariaceae
336	Globularia cordifolia
337	Lentibulariaceae
338	Pinguicula
339	Plantaginaceae
340	Plantago alpina
341	Plantago lanceolata
342	Plantago major
343	Plantago media
344	Lamiaceae
345	Ajuga
346	Ajuga reptans
347	Galeopsis
348	Galeopsis tetrahit
349	Glechoma hederacea
350	Lamium
351	Lamium maculatum
352	Lamium montanum
353	Lamium purpureum
354	Prunella vulgaris
355	Salvia pratensis
356	Acinos alpina
357	Thymus serpyllum
358	Campanulaceae
359	Campanula
