ID	NAME	RANK	TYPE
1	Root	0	ROOT
2	Alle Taxa	0	TAXON
3	Ascomycota	1	TAXON
4	Clavicipitaceae	2	TAXON
5	Claviceps purpurea	3	TAXON
6	Flechten	4	TAXON
7	Isländisch Moos	5	TAXON
8	Cetraria islandica	6	TAXON
9	Rentierflechte	7	TAXON
10	Landkartenflechte	8	TAXON
11	Bartflechte	9	TAXON
12	Bryophyta	10	TAXON
13	Marchantiopsida	11	TAXON
14	Marchantiidae	12	TAXON
15	Thalloses Lebermoos	13	TAXON
16	Jungermanniidae	14	TAXON
17	Beblättertes Lebermoos	15	TAXON
18	Bryopsida	16	TAXON
19	Bryidae	17	TAXON
20	Astmoos (= pleurokarp)	18	TAXON
21	Gipfelmoos (= akrokarp)	19	TAXON
22	Sphagnidae	20	TAXON
23	Torfmoos	21	TAXON
24	Pteridophyta	22	TAXON
25	Lycopodiaceae	23	TAXON
26	Huperzia selago	24	TAXON
27	Lycopodium annotinum	25	TAXON
28	Selaginellaceae	26	TAXON
29	Selaginella selaginoides	27	TAXON
30	Ophioglossaceae	28	TAXON
31	Botrychium	29	TAXON
32	Botrychium lunaria	30	TAXON
33	Equisetaceae	31	TAXON
34	Equisetum	32	TAXON
35	Equisetum arvense	33	TAXON
36	Equisetum hyemale	34	TAXON
37	Equisetum palustre	35	TAXON
38	Equisetum sylvaticum	36	TAXON
39	Equisetum telmateia	37	TAXON
40	Polypodiidae	38	TAXON
41	Aspleniaceae	39	TAXON
42	Asplenium	40	TAXON
43	Asplenium ruta-muraria	41	TAXON
44	Asplenium trichomanes	42	TAXON
45	Asplenium viride	43	TAXON
46	Phyllitis scolopendrium	44	TAXON
47	Athyriaceae	45	TAXON
48	Athyrium filix-femina	46	TAXON
49	Blechnaceae	47	TAXON
50	Blechnum spicant	48	TAXON
51	Cystopteridaceae	49	TAXON
52	Cystopteris fragilis	50	TAXON
53	Dennstaedtiaceae	51	TAXON
54	Pteridium aquilinum	52	TAXON
55	Dryopteridaceae	53	TAXON
56	Dryopteris filix-mas	54	TAXON
57	Polypodiaceae	55	TAXON
58	Polypodium vulgare	56	TAXON
59	Spermatophyta	57	TAXON
60	Gymnospermae	58	TAXON
61	Ginkgoaceae	59	TAXON
62	Ginkgo biloba	60	TAXON
63	Cupressaceae	61	TAXON
64	Juniperus	62	TAXON
65	Juniperus communis	63	TAXON
66	Juniperus nana	64	TAXON
67	Juniperus sabina	65	TAXON
68	Pinaceae	66	TAXON
69	Abies alba	67	TAXON
70	Larix decidua	68	TAXON
71	Picea abies	69	TAXON
72	Pinus	70	TAXON
73	Pinus cembra	71	TAXON
74	Pinus mugo	72	TAXON
75	Pinus sylvestris	73	TAXON
76	Pinus uncinata	74	TAXON
77	Taxaceae	75	TAXON
78	Taxus baccata	76	TAXON
79	Angiospermae	77	TAXON
80	Basale Angiospermae	78	TAXON
81	Nymphaeaceae	79	TAXON
82	Nuphar lutea	80	TAXON
83	Nymphaea alba	81	TAXON
84	Aristolochiaceae	82	TAXON
85	Asarum europaeum	83	TAXON
86	Monocotyledonae	84	TAXON
87	Araceae	85	TAXON
88	Arum maculatum	86	TAXON
89	Lemna minor	87	TAXON
90	Tofieldiaceae	88	TAXON
91	Tofieldia calyculata	89	TAXON
92	Colchicaceae	90	TAXON
93	Colchicum autumnale	91	TAXON
94	Liliaceae	92	TAXON
95	Lilium martagon	93	TAXON
96	Lloydia serotina	94	TAXON
97	Tulipa sylvestris	95	TAXON
98	Tulipa sylvestris i.w.S.	96	TAXON
99	Melanthiaceae	97	TAXON
100	Paris quadrifolia	98	TAXON
101	Veratrum album i.w.S.	99	TAXON
102	Orchidaceae	100	TAXON
103	Cypripedium calceolus	101	TAXON
104	Coeloglossum viride	102	TAXON
105	Dactylorhiza	103	TAXON
106	Dactylorhiza maculata	104	TAXON
107	Dactylorhiza maculata agg.	105	TAXON
108	Gymnadenia conopsea	106	TAXON
109	Nigritella nigra agg.	107	TAXON
110	Orchis	108	TAXON
111	Orchis mascula	109	TAXON
112	Orchis ustulata	110	TAXON
113	Traunsteinera globosa	111	TAXON
114	Listera ovata	112	TAXON
115	Neottia nidus-avis	113	TAXON
116	Ophrys	114	TAXON
117	Ophrys insectifera	115	TAXON
118	Iridaceae	116	TAXON
119	Crocus albiflorus	117	TAXON
120	Iris	118	TAXON
121	Iris pseudacorus	119	TAXON
122	Iris sibirica	120	TAXON
123	Amaryllidaceae	121	TAXON
124	Allioideae	122	TAXON
125	Allium	123	TAXON
126	Allium schoenoprasum	124	TAXON
127	Allium ursinum	125	TAXON
128	Amaryllidoideae	126	TAXON
129	Galanthus nivalis	127	TAXON
130	Leucojum vernum	128	TAXON
131	Narcissus	129	TAXON
132	Narcissus poëticus	130	TAXON
133	Narcissus pseudonarcissus	131	TAXON
134	Asparagaceae	132	TAXON
135	Anthericum liliago	133	TAXON
136	Convallaria majalis	134	TAXON
137	Maianthemum bifolium	135	TAXON
138	Polygonatum	136	TAXON
139	Polygonatum multiflorum	137	TAXON
140	Polygonatum odoratum	138	TAXON
141	Polygonatum verticillatum	139	TAXON
142	Ruscus aculeatus	140	TAXON
143	Poales	141	TAXON
144	Cyperaceae	142	TAXON
145	Eriophorum	143	TAXON
146	Eriophorum angustifolium	144	TAXON
147	Eriophorum latifolium	145	TAXON
148	Eriophorum scheuchzeri	146	TAXON
149	Eriophorum vaginatum	147	TAXON
150	Schoenus	148	TAXON
151	Schoenus nigricans	149	TAXON
152	Scirpus sylvaticus	150	TAXON
153	Trichophorum caespitosum	151	TAXON
154	Elyna myosuroides	152	TAXON
155	Carex	153	TAXON
156	Nebenschlüssel A	154	TAXON
157	Carex davalliana	155	TAXON
158	Nebenschlüssel B	156	TAXON
159	Carex curvula i.w.S.	157	TAXON
160	Carex spicata	158	TAXON
161	Carex echinata	159	TAXON
162	Nebenschlüssel C	160	TAXON
163	Carex atrata i.w.S.	161	TAXON
164	Carex parviflora	162	TAXON
165	Nebenschlüssel D	163	TAXON
166	Carex elata	164	TAXON
167	Carex nigra	165	TAXON
168	Nebenschlüssel E	166	TAXON
169	Carex caryophyllea	167	TAXON
170	Carex digitata	168	TAXON
171	Carex hirta	169	TAXON
172	Nebenschlüssel F	170	TAXON
173	Carex ferruginea	171	TAXON
174	Carex firma	172	TAXON
175	Carex flacca	173	TAXON
176	Carex flava	174	TAXON
177	Carex flava agg.	175	TAXON
178	Carex pallescens	176	TAXON
179	Carex panicea	177	TAXON
180	Carex pendula	178	TAXON
181	Carex sempervirens	179	TAXON
182	Carex sylvatica	180	TAXON
183	Juncaceae	181	TAXON
184	Juncus	182	TAXON
185	Juncus effusus	183	TAXON
186	Juncus inflexus	184	TAXON
187	Juncus alpinoarticulatus	185	TAXON
188	Juncus trifidus	186	TAXON
189	Luzula	187	TAXON
190	Luzula campestris	188	TAXON
191	Luzula lutea	189	TAXON
192	Luzula pilosa	190	TAXON
193	Luzula sylvatica	191	TAXON
194	Luzula sylvatica i.w.S.	192	TAXON
195	Poaceae	193	TAXON
196	Arrhenatherum elatius	194	TAXON
197	Avena sativa i.w.S.	195	TAXON
198	Avenella flexuosa	196	TAXON
199	Briza media	197	TAXON
200	Bromus	198	TAXON
201	Bromus erectus	199	TAXON
202	Bromus hordeaceus	200	TAXON
203	Bromus sterilis	201	TAXON
204	Bromus tectorum	202	TAXON
205	Dactylis glomerata	203	TAXON
206	Deschampsia caespitosa	204	TAXON
207	Festuca	205	TAXON
208	Festuca arundinacea i.w.S.	206	TAXON
209	Festuca pratensis	207	TAXON
210	Festuca pratensis i.w.S.	208	TAXON
211	Festuca rubra	209	TAXON
212	Festuca rubra agg.	210	TAXON
213	Festuca valesiaca	211	TAXON
214	Festuca valesiaca agg.	212	TAXON
215	Helictotrichon pubescens	213	TAXON
216	Holcus lanatus	214	TAXON
217	Molinia caerulea	215	TAXON
218	Molinia caerulea agg.	216	TAXON
219	Phragmites australis	217	TAXON
220	Poa	218	TAXON
221	Poa alpina	219	TAXON
222	Poa annua	220	TAXON
223	Poa bulbosa	221	TAXON
224	Poa pratensis	222	TAXON
225	Poa pratensis agg.	223	TAXON
226	Poa trivialis	224	TAXON
227	Poa trivialis i.w.S.	225	TAXON
228	Trisetum flavescens	226	TAXON
229	Agrostis stolonifera	227	TAXON
230	Calamagrostis varia	228	TAXON
231	Milium effusum	229	TAXON
232	Brachypodium	230	TAXON
233	Brachypodium pinnatum	231	TAXON
234	Brachypodium sylvaticum	232	TAXON
235	Elymus repens	233	TAXON
236	Hordeum	234	TAXON
237	Hordeum murinum	235	TAXON
238	Hordeum vulgare	236	TAXON
239	Lolium	237	TAXON
240	Lolium multiflorum	238	TAXON
241	Lolium perenne	239	TAXON
242	Nardus stricta	240	TAXON
243	Secale cereale	241	TAXON
244	Triticum aestivum	242	TAXON
245	Alopecurus pratensis	243	TAXON
246	Anthoxanthum odoratum	244	TAXON
247	Cynosurus cristatus	245	TAXON
248	Phleum	246	TAXON
249	Phleum alpinum agg.	247	TAXON
250	Phleum pratense	248	TAXON
251	Phleum pratense agg.	249	TAXON
252	Sesleria caerulea	250	TAXON
253	Melica	251	TAXON
254	Melica nutans	252	TAXON
255	Stipa pennata	253	TAXON
256	Stipa pennata agg.	254	TAXON
257	Zea mays	255	TAXON
258	Typhaceae	256	TAXON
259	Typha	257	TAXON
260	Typha latifolia	258	TAXON
261	Eudicotyledonae	259	TAXON
262	Berberidaceae	260	TAXON
263	Berberis vulgaris	261	TAXON
264	Papaveraceae	262	TAXON
265	Chelidonium majus	263	TAXON
266	Papaver	264	TAXON
267	Papaver rhoeas	265	TAXON
268	Ranunculaceae	266	TAXON
269	Aconitum	267	TAXON
270	Aconitum napellus	268	TAXON
271	Aconitum napellus agg.	269	TAXON
272	Aconitum vulparia	270	TAXON
273	Aconitum vulparia agg.	271	TAXON
274	Consolida	272	TAXON
275	Consolida regalis	273	TAXON
276	Helleborus	274	TAXON
277	Helleborus foetidus	275	TAXON
278	Trollius europaeus	276	TAXON
279	Aquilegia	277	TAXON
280	Aquilegia vulgaris	278	TAXON
281	Ficaria verna	279	TAXON
282	Ranunculus	280	TAXON
283	Ranunculus acris	281	TAXON
284	Ranunculus acris i.w.S.	282	TAXON
285	Ranunculus bulbosus	283	TAXON
286	Ranunculus montanus agg.	284	TAXON
287	Ranunculus repens	285	TAXON
288	Ranunculus aconitifolius	286	TAXON
289	Ranunculus platanifolius	287	TAXON
290	Ranunculus alpestris	288	TAXON
291	Ranunculus glacialis	289	TAXON
292	Ranunculus kuepferi	290	TAXON
293	Caltha palustris	291	TAXON
294	Thalictrum	292	TAXON
295	Thalictrum aquilegiifolium	293	TAXON
296	Clematis	294	TAXON
297	Clematis vitalba	295	TAXON
298	Anemone	296	TAXON
299	Anemone nemorosa	297	TAXON
300	Pulsatilla	298	TAXON
301	Pulsatilla alpina	299	TAXON
302	Pulsatilla apiifolia	300	TAXON
303	Pulsatilla vernalis	301	TAXON
304	Amaranthaceae	302	TAXON
305	Chenopodium	303	TAXON
306	Chenopodium album	304	TAXON
307	Chenopodium bonus-henricus	305	TAXON
308	Caryophyllaceae	306	TAXON
309	Alsinoideae	307	TAXON
310	Arenaria	308	TAXON
311	Arenaria biflora	309	TAXON
