
229	Kreuzblütler
230	Felsen-Kugelschötchen
231	Knoblauchhederich
232	Schotenkresse
233	Alpen-Gänsekresse
234	Schaumkraut
235	Behaartes Schaumkraut
236	Wiesen-Schaumkraut
237	Resedablättriges Schaumkraut
238	Gewöhnliches Brillenschötchen
239	Gewöhnliches Hirtentäschchen
240	Alpen-Gemskresse
241	Acker-Täschelkraut
242	Lindengewächse
243	Linde
244	Winter-Linde
245	Sommer-Linde
246	Primelgewächse
247	Hain-Gilbweiderich
248	Mannsschild
249	Zwerg-Mannsschild
250	Primel
251	Aurikel
252	Wald-Schlüsselblume
253	Mehl-Primel
254	Frühlings-Schlüsselblume
255	Soldanelle
256	Grosse Soldanelle
257	Stechpalmengewächse
258	Stechpalme
259	Hornstrauchgewächse
260	Hartriegel
261	Heidekrautartige
262	Heidekrautgewächse
263	Bärentraube
264	Besenheide
265	Erika
266	Alpenazalee
267	Alpenrose
268	Rostblättrige Alpenrose
269	Bewimperte Alpenrose
270	Heidelbeere
271	Moorbeere
272	Preiselbeere
273	Kardenartige
274	Geissblattgewächse
275	Heckenkirsche
276	Blaue Heckenkirsche
277	Rote Heckenkirsche
278	Holunder
279	Schwarzer Holunder
280	Roter Holunder
281	Schneeball
282	Wolliger Schneeball
283	Gewöhnlicher Schneeball
284	Kardengewächse
285	Acker-Witwenblume
286	Gewöhnliche Skabiose
287	Baldriangewächse
288	Baldrian
289	Berg-Baldrian
290	Gewöhnlicher Baldrian
291	Dreiblatt-Baldrian
292	Ölbaumgewächse
293	Esche
294	Gewöhnliche Esche
295	Liguster
296	Enzianartige
297	Seidenpflanzengewächse
298	Schwalbenwurz
299	Enziangewächse
300	Clusius Enzian
301	Stengelloser Enzian
302	Frühlings-Enzian
303	Rötegewächse
304	Labkraut
305	Weisses Labkraut
306	Kletten-Labkraut
307	Waldmeister
308	Tubiflorae
309	Solanaceae
310	Atropa belladonna
311	Solanum dulcamara
312	Boraginaceae
313	Echium vulgare
314	Myosotis
315	Symphytum officinale
316	Scrophulariales
317	Scrophulariaceae
318	Veronica
319	Veronica bellidioides
320	Veronica chamaedrys
321	Veronica filiformis
322	Veronica fruticans
323	Rhinanthus
324	Rhinanthus alectorolophus
325	Linaria
326	Linaria alpina
327	Bartsia alpina
328	Euphrasia rostkoviana
329	Melampyrum silvaticum
330	Pedicularis
331	Pedicularis tuberosa
332	Pedicularis verticillata
333	Orobanchaceae
334	Orobanche alba
335	Globulariaceae
336	Globularia cordifolia
337	Lentibulariaceae
338	Pinguicula
339	Plantaginaceae
340	Plantago alpina
341	Plantago lanceolata
342	Plantago major
343	Plantago media
344	Lamiaceae
345	Ajuga
346	Ajuga reptans
347	Galeopsis
348	Galeopsis tetrahit
349	Glechoma hederacea
350	Lamium
351	Lamium maculatum
352	Lamium montanum
353	Lamium purpureum
354	Prunella vulgaris
355	Salvia pratensis
356	Acinos alpina
357	Thymus serpyllum
358	Glockenblumengewächse
359	Glockenblume
360	Bärtige Glockenblume
361	Kleine Glockenblume
362	Rautenblättrige Glockenblume
363	Rundblättrige Glockenblume
364	Rapunzel
365	Halbkugelige Rapunzel
366	Rundköpfige Rapunzel
367	Ährige Rapunzel
368	Korbblütler
369	Röhrenblütler
370	Arnika
371	Distel
372	Kratzdistel
373	Alpenlattich
374	Pestwurz
375	Huflattich
376	Kamille
377	Echte Kamille
378	Strahlenlose Kamille
379	Grauer Alpendost
380	Gewöhnliches Katzenpfötchen
381	Beifuss
382	Wermut
383	Feld-Beifuss
384	Gewöhnlicher Beifuss
385	Flockenblume
386	Wiesen-Flockenblume
387	Berg-Flockenblume
388	Skabiosen-Flockenblume
389	Edelweiss
390	Schafgarbe
391	Gewöhnliche Schafgarbe
392	Moschus-Schafgarbe
393	Alpen-Aster
394	Alpenmasslieb
395	Gänseblümchen
396	Alpenmargerite
397	Gewöhnliche Margerite
398	Kreuzkraut
399	Gemswurz-Kreuzkraut
400	Gewöhnliches Kreuzkraut
401	Zungenblütler
402	Pippau
403	Gold-Pippau
404	Wiesen-Pippau
405	Habichtskraut
406	Mauer-Habichtskraut
407	Langhaariges Habichtskraut
408	Steifhaariger Löwenzahn
409	Pfaffenröhrlein
410	Wiesen-Bocksbart
411	Buchenartige
412	Buchengewächse
413	Edel-Kastanie
414	Buche
415	Eiche
416	Birkengewächse
417	Erle
418	Schwarz-Erle
419	Grau-Erle
420	Alpen-Erle
421	Birke
422	Hagebuche
423	Haselstrauch
424	Walnussgewächse
425	Walnussbaum
426	Weidengewächse
427	Pappel
428	Silber-Pappel
429	Zitter-Pappel
430	Weide
431	Sal-Weide
432	Purpur-Weide
433	Kraut-Weide
434	Netz-Weide
435	Stumpfblättrige Weide
436	Einkeimblättrige
437	Lilienartige
438	Liliengewächse
439	Lauch
440	Bärlauch
441	Herbst-Zeitlose
442	Maiglöcklein
443	Vierblättrige Einbeere
444	Salomonssiegel
445	Vielblütiges Salomonssiegel
446	Echtes Salomonssiegel
447	Gewöhnlicher Germer
448	Amaryllisgewächse
449	Schneeglöckchen
450	Märzenglöckchen
451	Osterglocke
452	Schwertliliengewächse
453	Frühlings-Krokus
454	Gelbe Schwertlilie
455	Orchideen
456	Grüne Hohlzunge
457	Mücken-Nacktdrüse
458	Nestwurz
459	Männertreu
460	Orchis
461	Stattliche Orchis
462	Binsengewächse
463	Binse
464	Alpen-Binse
465	Blaugrüne Binse
466	Hainsimse
467	Feld-Hainsimse
468	Luzula silvatica
469	Sauergräser
470	Wollgras
471	Schmalblättriges Wollgras
472	Rasige Haarbinse
473	Segge
474	Davalls Segge
475	Krumm-Segge
476	Gedrängtährige Segge
477	Igelfrüchtige Segge
478	Geschwärzte Segge
479	Braune Segge
480	Steife Segge
481	Behaarte Segge
482	Schlaffe Segge
483	Gelbe Segge
484	Immergrüne Segge
485	Wald-Segge
486	Süssgräser
487	Gewöhnliches Ruchgras
488	Gewöhnliches Zittergras
489	Gewöhnliches Knäuelgras
490	Borstgras
491	Schilf
492	Sesleria caerulea
493	Kriechende Quecke
494	Wiesen-Fuchsschwanz
495	Cynosurus cristatus
496	Mäuse-Gerste
497	Lolch
498	Englisches Raygras
499	Italienisches Raygras
500	Perlgras
501	Nickendes Perlgras
502	Wiesen-Lieschgras
503	Federgras
504	Arrhenatherum elatius
505	Trespe
506	Aufrechte Trespe
507	Weiche Trespe
508	Taube Trespe
509	Dach-Trespe
510	Festuca
511	Festuca pratensis
512	Festuca rubra
513	Festuca vallesiaca
514	Flaumhafer
515	Wolliges Honiggras
516	Rispengras
517	Alpen-Rispengras
518	Einjähriges Rispengras
519	Knolliges Rispengras
520	Wiesen-Rispengras
521	Gewöhnliches Rispengras
522	Goldhafer
523	Aronstabgewächse
524	Aronstab
525	Lebermoose
526	Laubmoose
527	Landkartenflechte
528	Bartflechte
529	Riesen-Schachtelhalm
530	Streifenfarngewächse
531	Athyriaceae
532	Aspidiaceae
533	Adlerfarn
534	Rippenfarn
535	Gewöhnlicher Blasenfarn
536	Narzisse
537	Dichter-Narzisse
538	Frühlings-Segge
539	Gefingerte Segge
540	Rost-Segge
541	Polster-Segge
542	Bleiche Segge
543	Hirsen-Segge
544	Nacktriedbinse
545	Breitblättriges Wollgras
546	Scheuchzers Wollgras
547	Scheidiges Wollgras
548	Rostrote Kopfbinse
549	Waldbinse
550	Schwertlilie
551	Sibirische Schwertlilie
552	Flatter-Binse
553	Dreispaltige Binse
554	Behaarte Hainsimse
555	Wasserlinsengewächse
556	Kleine Wasserlinse
557	Schnittlauch
558	Türkenbund
559	Faltenlilie
560	Zweiblättrige Schattenblume
561	Quirlblättriges Salomonssiegel
562	Kelch-Liliensimse
563	Weinberg-Tulpe
564	Frauenschuh
565	Dactylorhiza majalis
566	Grosses Zweiblatt
567	Fliegen-Ragwurz
568	Schwärzliche Orchis
569	Kriechendes Straussgras
570	Gewöhnlicher Windhalm
571	Saat-Hafer
572	Fieder-Zwenke
573	Buntes Reitgras
574	Rasen-Schmiele
575	Festuca arundinacea
576	Gerste
577	Saat-Gerste
578	Waldhirse
579	Blaues Pfeifengras
580	Roggen
581	Gewöhnlicher Weizen
582	Mais
583	Zwenke
584	Rohrkolbengewächse
585	Breitblättriger Rohrkolben
586	Seerosengewächse
587	Weisse Seerose
588	Grosse Teichrose
589	Blauer Eisenhut
590	Gelber Eisenhut
591	Frühlings-Adonisröschen
592	Anemone
593	Acker-Rittersporn
594	Stinkende Nieswurz
595	Gletscher-Hahnenfuss
596	Pyrenäen-Hahnenfuss
597	Paronychienartige
598	Kahles Bruchkraut
599	Rote Schuppenmiere
600	Arenaria
601	Minuartia
602	Aufrechtes Hornkraut
603	Wald-Sternmiere
604	Zweiblütiges Sandkraut
605	Quendelblättriges Sandkraut
606	Frühlings-Miere
607	Zwerg-Miere
608	Pracht-Nelke
609	Seifenkraut
610	Gewöhnliches Seifenkraut
611	Kuckucks-Lichtnelke
612	Weisse Waldnelke
613	Runkelrübe
614	Fuchsschwanzgewächse
615	Zurückgekrümmter Fuchsschwanz
616	Säuerling
617	Japanischer Staudenknöterich
618	Vogel-Knöterich
619	Pfirsichblättriger Knöterich
620	Hänge-Birke
621	Moor-Birke
622	Flaum-Eiche
623	Stiel-Eiche
624	Trauben-Eiche
625	Hanf
626	Spinnweb-Hauswurz
627	Sempervivum montanum
628	Weisser Mauerpfeffer
629	Scharfer Mauerpfeffer
630	Dunkler Mauerpfeffer
631	Wechselblättriges Milzkraut
632	Steinbrech
633	Moosartiger Steinbrech
634	Blaugrüner Steinbrech
635	Herzblattgewächse
636	Studentenröschen
637	Felsenmispel
638	Gewöhnliche Steinmispel
639	Eingriffliger Weissdorn
640	Holz-Apfelbaum
641	Crantz Fingerkraut
642	Erdbeer-Fingerkraut
643	Süsskirsche
644	Wild-Birnbaum
645	Brombeere
646	Himbeere
647	Elsbeerbaum
648	Sibbaldie
649	Gletscher-Tragant
650	Alpen-Süssklee
651	Frühlings-Platterbse
652	Sichelklee
653	Saat-Luzerne
654	Honigklee
655	Weisser Honigklee
656	Gewöhnlicher Honigklee
657	Robinie
658	Kleiner Klee
659	Gewöhnliches Hexenkraut
660	Gewöhnliche Nachtkerze
661	Schmalblättriges Weidenröschen
662	Berg-Weidenröschen
663	Rundblättriger Storchschnabel
664	Balsaminaceae
665	Impatiens parviflora
666	Impatiens noli-tangere
667	Impatiens glandulifera
