ID	NAME	RANK	TYPE
            
2	Alle Taxa	0	TAXON
3	Ascomycota	1	TAXON
4	Clavicipitaceae	2	TAXON
5	Claviceps purpurea	3	TAXON
6	Flechten	4	TAXON
7	Isländisch Moos	5	TAXON
8	Rentierflechte	6	TAXON
9	Cetraria islandica	7	TAXON
10	Landkartenflechte	8	TAXON
11	Bartflechte	9	TAXON
12	Bryophyta	10	TAXON
13	Marchantiopsida	11	TAXON
14	Marchantiidae	12	TAXON
15	Thalloses Lebermoos	13	TAXON
16	Jungermanniidae	14	TAXON
17	Beblättertes Lebermoos	15	TAXON
18	Bryopsida	16	TAXON
19	Bryidae	17	TAXON
20	Astmoos	18	TAXON
21	Gipfelmoos	19	TAXON
22	Sphagnidae	20	TAXON
23	Torfmoos	21	TAXON
24	Pteridophyta	22	TAXON
25	Lycopodiaceae	23	TAXON
26	Huperzia selago	24	TAXON
27	Lycopodium annotinum	25	TAXON
28	Selaginellaceae	26	TAXON
29	Selaginella selaginoides	27	TAXON
30	Ophioglossaceae	28	TAXON
31	Botrychium	29	TAXON
32	Botrychium lunaria	30	TAXON
33	Equisetaceae	31	TAXON
34	Equisetum	32	TAXON
35	Equisetum arvense	33	TAXON
36	Equisetum hyemale	34	TAXON
37	Equisetum palustre	35	TAXON
38	Equisetum sylvaticum	36	TAXON
39	Equisetum telmateia	37	TAXON
40	Polypodiidae	38	TAXON
41	Aspleniaceae	39	TAXON
42	Asplenium	40	TAXON
43	Asplenium ruta-muraria	41	TAXON
44	Asplenium trichomanes	42	TAXON
45	Asplenium viride	43	TAXON
46	Phyllitis scolopendrium	44	TAXON
47	Athyriaceae	45	TAXON
48	Athyrium filix-femina	46	TAXON
49	Blechnaceae	47	TAXON
50	Blechnum spicant	48	TAXON
51	Cystopteridaceae	49	TAXON
52	Cystopteris fragilis	50	TAXON
53	Dennstaedtiaceae	51	TAXON
54	Pteridium aquilinum	52	TAXON
55	Dryopteridaceae	53	TAXON
56	Dryopteris filix-mas	54	TAXON
57	Polypodiaceae	55	TAXON
58	Polypodium vulgare	56	TAXON
59	Spermatophyta	57	TAXON
60	Gymnospermae	58	TAXON
61	Ginkgoaceae	59	TAXON
62	Ginkgo biloba	60	TAXON
63	Cupressaceae	61	TAXON
64	Juniperus	62	TAXON
65	Juniperus communis	63	TAXON
66	Juniperus nana	64	TAXON
67	Juniperus sabina	65	TAXON
68	Pinaceae	66	TAXON
69	Abies alba	67	TAXON
70	Larix decidua	68	TAXON
71	Picea abies	69	TAXON
72	Pinus	70	TAXON
73	Pinus cembra	71	TAXON
74	Pinus mugo	72	TAXON
75	Pinus sylvestris	73	TAXON
76	Pinus uncinata	74	TAXON
77	Taxaceae	75	TAXON
78	Taxus baccata	76	TAXON
79	Angiospermae	77	TAXON
80	Basale Angiospermae	78	TAXON
81	Nymphaeaceae	79	TAXON
82	Nuphar lutea	80	TAXON
83	Nymphaea alba	81	TAXON
84	Aristolochiaceae	82	TAXON
85	Asarum europaeum	83	TAXON
86	Monocotyledonae	84	TAXON
87	Araceae	85	TAXON
88	Arum maculatum	86	TAXON
89	Lemna minor	87	TAXON
90	Tofieldiaceae	88	TAXON
91	Tofieldia calyculata	89	TAXON
92	Colchicaceae	90	TAXON
93	Colchicum autumnale	91	TAXON
94	Liliaceae	92	TAXON
95	Lilium martagon	93	TAXON
96	Lloydia serotina	94	TAXON
97	Tulipa sylvestris	95	TAXON
98	Melanthiaceae	96	TAXON
99	Paris quadrifolia	97	TAXON
100	Veratrum album	98	TAXON
101	Orchidaceae	99	TAXON
102	Cypripedium calceolus	100	TAXON
103	Coeloglossum viride	101	TAXON
104	Dactylorhiza	102	TAXON
105	Dactylorhiza maculata	103	TAXON
106	Gymnadenia conopsea	104	TAXON
107	Nigritella nigra	105	TAXON
108	Orchis	106	TAXON
109	Orchis mascula	107	TAXON
110	Orchis ustulata	108	TAXON
111	Traunsteinera globosa	109	TAXON
112	Listera ovata	110	TAXON
113	Neottia nidus-avis	111	TAXON
114	Ophrys	112	TAXON
115	Ophrys insectifera	113	TAXON
116	Iridaceae	114	TAXON
117	Crocus albiflorus	115	TAXON
118	Iris	116	TAXON
119	Iris pseudacorus	117	TAXON
120	Iris sibirica	118	TAXON
121	Amaryllidaceae	119	TAXON
122	Allioideae	120	TAXON
123	Allium	121	TAXON
124	Allium schoenoprasum	122	TAXON
125	Allium ursinum	123	TAXON
126	Amaryllidoideae	124	TAXON
127	Galanthus nivalis	125	TAXON
128	Leucojum vernum	126	TAXON
129	Narcissus	127	TAXON
130	Narcissus poeticus	128	TAXON
131	Narcissus pseudonarcissus	129	TAXON
132	Asparagaceae	130	TAXON
133	Anthericum liliago	131	TAXON
134	Convallaria majalis	132	TAXON
135	Maianthemum bifolium	133	TAXON
136	Polygonatum	134	TAXON
137	Polygonatum multiflorum	135	TAXON
138	Polygonatum odoratum	136	TAXON
139	Polygonatum verticillatum	137	TAXON
140	Ruscus aculeatus	138	TAXON
141	Poales	139	TAXON
142	Cyperaceae	140	TAXON
143	Eriophorum	141	TAXON
144	Eriophorum angustifolium	142	TAXON
145	Eriophorum latifolium	143	TAXON
146	Eriophorum scheuchzeri	144	TAXON
147	Eriophorum vaginatum	145	TAXON
148	Schoenus	146	TAXON
149	Schoenus nigricans	147	TAXON
150	Scirpus sylvaticus	148	TAXON
151	Trichophorum caespitosum	149	TAXON
152	Elyna myosuroides	150	TAXON
153	Carex	151	TAXON
154	Nebenschlüssel A	152	TAXON
155	Carex davalliana	153	TAXON
156	Nebenschlüssel B	154	TAXON
157	Carex curvula	155	TAXON
158	Carex spicata	156	TAXON
159	Carex echinata	157	TAXON
160	Nebenschlüssel C	158	TAXON
161	Carex atrata	159	TAXON
162	Carex parviflora	160	TAXON
163	Nebenschlüssel D	161	TAXON
164	Carex elata	162	TAXON
165	Carex nigra	163	TAXON
166	Nebenschlüssel E	164	TAXON
167	Carex caryophyllea	165	TAXON
168	Carex digitata	166	TAXON
169	Carex hirta	167	TAXON
170	Nebenschlüssel F	168	TAXON
171	Carex ferruginea	169	TAXON
172	Carex firma	170	TAXON
173	Carex flacca	171	TAXON
174	Carex flava	172	TAXON
175	Carex pallescens	173	TAXON
176	Carex panicea	174	TAXON
177	Carex pendula	175	TAXON
178	Carex sempervirens	176	TAXON
179	Carex sylvatica	177	TAXON
180	Juncaceae	178	TAXON
181	Juncus	179	TAXON
182	Juncus effusus	180	TAXON
183	Juncus inflexus	181	TAXON
184	Juncus alpinoarticulatus	182	TAXON
185	Juncus trifidus	183	TAXON
186	Luzula	184	TAXON
187	Luzula campestris	185	TAXON
188	Luzula lutea	186	TAXON
189	Luzula pilosa	187	TAXON
190	Luzula sylvatica	188	TAXON
191	Poaceae	189	TAXON
192	Arrhenatherum elatius	190	TAXON
193	Avena sativa	191	TAXON
194	Avenella flexuosa	192	TAXON
195	Briza media	193	TAXON
196	Bromus	194	TAXON
197	Bromus erectus	195	TAXON
198	Bromus hordeaceus	196	TAXON
199	Bromus sterilis	197	TAXON
200	Bromus tectorum	198	TAXON
201	Dactylis glomerata	199	TAXON
202	Deschampsia caespitosa	200	TAXON
203	Festuca	201	TAXON
204	Festuca arundinacea	202	TAXON
205	Festuca pratensis	203	TAXON
206	Festuca rubra	204	TAXON
207	Festuca valesiaca	205	TAXON
208	Helictotrichon pubescens	206	TAXON
209	Holcus lanatus	207	TAXON
210	Molinia caerulea	208	TAXON
211	Phragmites australis	209	TAXON
212	Poa	210	TAXON
213	Poa alpina	211	TAXON
214	Poa annua	212	TAXON
215	Poa bulbosa	213	TAXON
216	Poa pratensis	214	TAXON
217	Poa trivialis	215	TAXON
218	Trisetum flavescens	216	TAXON
219	Agrostis stolonifera	217	TAXON
220	Calamagrostis varia	218	TAXON
221	Milium effusum	219	TAXON
222	Brachypodium	220	TAXON
223	Brachypodium pinnatum	221	TAXON
224	Brachypodium sylvaticum	222	TAXON
225	Elymus repens	223	TAXON
226	Hordeum	224	TAXON
227	Hordeum murinum	225	TAXON
228	Hordeum vulgare	226	TAXON
229	Lolium	227	TAXON
230	Lolium multiflorum	228	TAXON
231	Lolium perenne	229	TAXON
232	Nardus stricta	230	TAXON
233	Secale cereale	231	TAXON
234	Triticum aestivum	232	TAXON
235	Alopecurus pratensis	233	TAXON
236	Anthoxanthum odoratum	234	TAXON
237	Cynosurus cristatus	235	TAXON
238	Phleum	236	TAXON
239	Phleum alpinum	237	TAXON
240	Phleum pratense	238	TAXON
